casino_name,logo_path,rating,website_url,languages,licenses,affiliate_program,casino_type,review_path
Del Oro Casino,logosask/DelOroCasino.png,9.1,https://delorocasino.com/,https://delorocasino.com/,Anjouan,Big Time Partners,"Instant Play, Live Casino, Mobile, Crypto Casino, Sports",tekst/Del Oro Casino.txt
Evobet Casino,logosask/EvobetCasino.png,9.1,https://www.evobet.com,https://www.evobet.com,Curacao,Campeon Affiliates,"Instant Play, Mobile, Sports, Live Casino, Crypto Casino",tekst/Evobet Casino.txt
Slots Gallery Casino,logosask/SlotsGalleryCasino.png,9.1,http://slotsgallery.com,http://slotsgallery.com,Curacao,Boho Affiliates,"Instant Play, Live Casino, Mobile, Sports, Crypto Casino",tekst/Slots Gallery Casino.txt
LevelUp Casino,logosask/LevelUpCasino.png,9.1,https://www.levelupcasino.com/,https://www.levelupcasino.com/,Curacao,LevelUP Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/LevelUp Casino.txt
RocketPlay Casino,logosask/RocketPlayCasino.png,9.1,https://rocketplay.com/,https://rocketplay.com/,Curacao,RocketPlay Partners,"Instant Play, Mobile, Live Casino, Crypto Casino, Sports",tekst/RocketPlay Casino.txt
Syndicate Casino,logosask/SyndicateCasino.png,9.1,https://syndicatecasino.club,https://syndicatecasino.club,Curacao,Syndicate Partners,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Syndicate Casino.txt
Kas.casino,logosask/Kascasino.png,9.1,https://kas.casino,https://kas.casino,Curacao,Kas.partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Kascasino.txt
SpinsBro Casino,logosask/SpinsBroCasino.png,9.1,https://spinsbro.com,https://spinsbro.com,Curacao,13 Aff,"Instant Play, Live Casino, Mobile, Crypto Casino",tekst/SpinsBro Casino.txt
Axecasino,logosask/Axecasino.png,9,https://www.axecasino.com/,https://www.axecasino.com/,Curacao,AXECASINOAFFILIATES,"Instant Play, Mobile, Crypto Casino, Live Casino",tekst/Axecasino.txt
Playfina Casino,logosask/PlayfinaCasino.png,9,https://www.playfina.com,https://www.playfina.com,Curacao,Playfina Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Playfina Casino.txt
King Billy Casino,logosask/KingBillyCasino.png,9,https://www.kingbillycasino.com/,https://www.kingbillycasino.com/,Curacao,King Billy Partners,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/King Billy Casino.txt
Betsofa Casino,logosask/BetsofaCasino.png,9,https://www.betsofa.com/en/,https://www.betsofa.com/en/,Curacao,iSpin Partners,"Instant Play, Sports, Mobile, Live Casino, Crypto Casino",tekst/Betsofa Casino.txt
Wintopia Casino,logosask/WintopiaCasino.png,9,https://wintopia.com/,https://wintopia.com/,Curacao,Winmaniacs Affiliates,"Instant Play, Live Casino, Mobile, Sports, Crypto Casino",tekst/Wintopia Casino.txt
Lucky Hunter Casino,logosask/LuckyHunterCasino.png,9,https://www.luckyhunter.com,https://www.luckyhunter.com,Curacao,N1 Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Lucky Hunter Casino.txt
Windetta Casino,logosask/WindettaCasino.png,8.9,https://windetta.com,https://windetta.com,Curacao,Join Affiliates,"Instant Play, Live Casino, Mobile, Crypto Casino",tekst/Windetta Casino.txt
SlotVibe Casino,logosask/SlotVibeCasino.png,8.9,https://www.slotvibe.com,https://www.slotvibe.com,Curacao,Slotvibe Partners,"Instant Play, Mobile, Crypto Casino, Live Casino",tekst/SlotVibe Casino.txt
WinLegends Casino,logosask/WinLegendsCasino.png,8.9,https://winlegends.com,https://winlegends.com,Curacao,Join Affiliates,"Crypto Casino, Instant Play, Mobile, Live Casino",tekst/WinLegends Casino.txt
CosmicSlot Casino,logosask/CosmicSlotCasino.png,8.9,https://cosmicslot.com/,https://cosmicslot.com/,Curacao,Peaky Partners,"Instant Play, Mobile, Live Casino, Crypto Casino, Sports",tekst/CosmicSlot Casino.txt
Playfastcasino,logosask/Playfastcasino.png,8.8,https://playfastcasino.com/,https://playfastcasino.com/,Curacao,Infinity Stars Partners,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/Playfastcasino.txt
WinSpirit Casino,logosask/WinSpiritCasino.png,8.8,https://winspirit.com,https://winspirit.com,Curacao,Winspirit Affiliates,"Crypto Casino, Instant Play, Live Casino, Mobile, Sports",tekst/WinSpirit Casino.txt
N1Bet Casino,logosask/N1BetCasino.png,8.8,https://casino.n1bet.com,https://casino.n1bet.com,Curacao,N1 Partners,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/N1Bet Casino.txt
Asino Casino,logosask/AsinoCasino.png,8.8,https://www.asino.com/,https://www.asino.com/,Curacao,Playfina Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Asino Casino.txt
CatCasino,logosask/CatCasino.png,8.8,https://www.catcasino.com/en,https://www.catcasino.com/en,Curacao,Cat Affs,"Instant Play, Mobile, Crypto Casino, Live Casino",tekst/CatCasino.txt
Spirit Casino,logosask/SpiritCasino.png,8.7,https://www.spiritcasino.com/,https://www.spiritcasino.com/,Curacao,N1 Partners,"Instant Play, Live Casino, Mobile, Crypto Casino",tekst/Spirit Casino.txt
Stelario Casino,logosask/StelarioCasino.png,8.7,https://stelario.com/en/,https://stelario.com/en/,Curacao,Join Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Stelario Casino.txt
Weiss Casino,logosask/WeissCasino.png,8.7,https://weiss.bet,https://weiss.bet,Curacao,Bona Fides Affiliates,"Crypto Casino, Instant Play, Live Casino, Mobile, Sports",tekst/Weiss Casino.txt
Casino Orca,logosask/CasinoOrca.png,8.7,https://www.casinoorca.com/,https://www.casinoorca.com/,Curacao,Mematogroup Affiliate,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Casino Orca.txt
RollXO Casino,logosask/RollXOCasino.png,8.7,https://www.rollxo.com/,https://www.rollxo.com/,Curacao,N1 Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/RollXO Casino.txt
TonyBet Casino,logosask/TonyBetCasino.png,8.7,http://tonybet.com,http://tonybet.com,"Estonian Tax and Customs Board, Kahnawake Gaming Commission, Alcohol and Gaming Commission of Ontario",TonyBet Affiliates,"Instant Play, Mobile, Sports, Live Casino, Crypto Casino",tekst/TonyBet Casino.txt
Wild.io Casino,logosask/WildioCasino.png,8.6,https://wild.io,https://wild.io,Curacao,Wild Partners,"Crypto Casino, Live Casino, Mobile, Instant Play",tekst/Wildio Casino.txt
SpinBetter Casino,logosask/SpinBetterCasino.png,8.6,https://spinbetter.com,https://spinbetter.com,Curacao,SpinBet Partners,"Instant Play, Mobile, Crypto Casino, Live Casino, Sports",tekst/SpinBetter Casino.txt
KatsuBet Casino,logosask/KatsuBetCasino.png,8.6,https://www.katsubet.com/,https://www.katsubet.com/,Curacao,7Bit Partners,"Instant Play, Mobile, Crypto Casino, Live Casino",tekst/KatsuBet Casino.txt
SlotBox Casino,logosask/SlotBoxCasino.png,8.6,https://www.slotbox.com/,https://www.slotbox.com/,"Curacao, Estonian Tax and Customs Board",Coastline Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/SlotBox Casino.txt
Fresh Casino,logosask/FreshCasino.png,8.5,https://fresh.casino/en,https://fresh.casino/en,Curacao,Royal Partners,"Instant Play, Mobile, Sports, Download, Crypto Casino, Live Casino",tekst/Fresh Casino.txt
Royal Stars Casino,logosask/RoyalStarsCasino.png,8.5,https://www.royalstarscasino.com/en/,https://www.royalstarscasino.com/en/,Curacao,Royal Stars Affiliates,"Crypto Casino, Instant Play, Live Casino, Mobile, Sports",tekst/Royal Stars Casino.txt
Golden Star Casino,logosask/GoldenStarCasino.png,8.5,https://goldenstar-casino.com,https://goldenstar-casino.com,"Curacao, Estonian Tax and Customs Board",StarCrown Partners,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Golden Star Casino.txt
Betandyou Casino,logosask/BetandyouCasino.png,8.5,https://betandyou.com/,https://betandyou.com/,Curacao,Betandyou Partners,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/Betandyou Casino.txt
AllSpins Casino,logosask/AllSpinsCasino.png,8.5,https://allspins.com/,https://allspins.com/,Curacao,Winmaniacs Affiliates,"Instant Play, Live Casino, Mobile, Sports, Crypto Casino",tekst/AllSpins Casino.txt
Slotum Casino,logosask/SlotumCasino.png,8.5,https://www.slotum.com/,https://www.slotum.com/,Curacao,Combo Partners,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Slotum Casino.txt
TrustDice Casino,logosask/TrustDiceCasino.png,8.5,https://trustdice.win/,https://trustdice.win/,Curacao,TrustDice Affiliates,"Mobile, Instant Play, Live Casino, Crypto Casino, Sports",tekst/TrustDice Casino.txt
Kingamo Casino,logosask/KingamoCasino.png,8.5,https://www.kingamo.com,https://www.kingamo.com,Curacao,iSpin Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Kingamo Casino.txt
Campeonbet Casino,logosask/CampeonbetCasino.png,8.5,https://www.campeonbet.com,https://www.campeonbet.com,Curacao,Campeon Affiliates,"Instant Play, Mobile, Sports, Live Casino, Crypto Casino",tekst/Campeonbet Casino.txt
ZenCasino,logosask/ZenCasino.png,8.4,https://www.zencasino.com/,https://www.zencasino.com/,Curacao,ZenCasino Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino, Sports",tekst/ZenCasino.txt
Fairspin Casino,logosask/FairspinCasino.png,8.4,https://fairspin.io/,https://fairspin.io/,Curacao,Bona Fides Affiliates,"Instant Play, Mobile, Sports, Live Casino, Crypto Casino",tekst/Fairspin Casino.txt
Casino Rocket,logosask/CasinoRocket.png,8.4,https://www.casinorocket.com/en,https://www.casinorocket.com/en,Curacao,Newgen Affiliates,"Instant Play, Mobile, Crypto Casino, Live Casino",tekst/Casino Rocket.txt
Joo Casino,logosask/JooCasino.png,8.4,http://www.joocasino.com,http://www.joocasino.com,Curacao,N1 Partners,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/Joo Casino.txt
Spin Samurai Casino,logosask/SpinSamuraiCasino.png,8.4,https://www.spinsamurai.com/en,https://www.spinsamurai.com/en,Curacao,Samurai Partners,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Spin Samurai Casino.txt
Wish Casino,logosask/WishCasino.png,8.4,https://www.wishcasino.io,https://www.wishcasino.io,Curacao,iSpin Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Wish Casino.txt
Bitcoin Casino,logosask/BitcoinCasino.png,8.4,https://www.bitcoincasino.io/,https://www.bitcoincasino.io/,Curacao,Bitcoin Casino Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Bitcoin Casino.txt
BetChain Casino,logosask/BetChainCasino.png,8.4,https://www.betchain.com/,https://www.betchain.com/,Curacao,BetChain Affiliates,"Instant Play, Mobile, Crypto Casino",tekst/BetChain Casino.txt
Olympia Casino,logosask/OlympiaCasino.png,8.4,https://www.olympia.casino,https://www.olympia.casino,Curacao,Olympia Affiliates,"Instant Play, Live Casino, Mobile, Crypto Casino",tekst/Olympia Casino.txt
Smokace Casino,logosask/SmokaceCasino.png,8.4,https://smokace.com/,https://smokace.com/,Curacao,Join Affiliates,"Mobile, Live Casino, Instant Play, Crypto Casino",tekst/Smokace Casino.txt
Gunsbet Casino,logosask/GunsbetCasino.png,8.4,https://www.gunsbet.com,https://www.gunsbet.com,Curacao,Alpha Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Gunsbet Casino.txt
Wild Tornado Casino,logosask/WildTornadoCasino.png,8.4,https://www.wildtornado.casino/,https://www.wildtornado.casino/,Curacao,Wild Tornado Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Wild Tornado Casino.txt
Sportsbet.io Casino,logosask/SportsbetioCasino.png,8.4,https://sportsbet.io/,https://sportsbet.io/,Curacao,Partners.io Affiliates,"Instant Play, Mobile, Sports, Live Casino, Crypto Casino",tekst/Sportsbetio Casino.txt
Lilibet Casino,logosask/LilibetCasino.png,8.4,https://www.lilibet.com/,https://www.lilibet.com/,Curacao,VL Partners,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/Lilibet Casino.txt
Slotman Casino,logosask/SlotmanCasino.png,8.3,https://www.slotman.com/,https://www.slotman.com/,Curacao,Heroic Affiliates,"Instant Play, Mobile, Crypto Casino, Live Casino",tekst/Slotman Casino.txt
Sol Casino,logosask/SolCasino.png,8.3,https://sol.casino,https://sol.casino,Curacao,Royal Partners,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/Sol Casino.txt
Daddy Casino,logosask/DaddyCasino.png,8.3,https://daddy.casino/,https://daddy.casino/,Curacao,Cat Affs,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Daddy Casino.txt
Puma Casino,logosask/PumaCasino.png,8.3,https://www.pumacasino.io/,https://www.pumacasino.io/,Curacao,iSpin Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Puma Casino.txt
SlotLords Casino,logosask/SlotLordsCasino.png,8.3,https://www.slotlords.com/,https://www.slotlords.com/,Curacao,N1 Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/SlotLords Casino.txt
GoSpin Casino,logosask/GoSpinCasino.png,8.3,https://www.gospin.io/,https://www.gospin.io/,Curacao,iSpin Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/GoSpin Casino.txt
iWild Casino,logosask/iWildCasino.png,8.3,https://iwildcasino.com,https://iwildcasino.com,Curacao,iWild Partners,"Instant Play, Live Casino, Mobile, Crypto Casino",tekst/iWild Casino.txt
LuckyReels Casino,logosask/LuckyReelsCasino.png,8.3,https://www.luckyreels.io,https://www.luckyreels.io,Curacao,iSpin Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/LuckyReels Casino.txt
7BitCasino,logosask/7BitCasino.png,8.3,https://7bitcasino.com,https://7bitcasino.com,Curacao,7Bit Partners,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/7BitCasino.txt
FortuneJack Casino,logosask/FortuneJackCasino.png,8.3,https://fortunejack.com,https://fortunejack.com,Curacao,FortuneJack Affiliates,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/FortuneJack Casino.txt
Thorcasino,logosask/Thorcasino.png,8.3,https://www.thorcasino.com,https://www.thorcasino.com,Curacao,Mematogroup Affiliate,"Crypto Casino, Instant Play, Live Casino, Mobile, Sports",tekst/Thorcasino.txt
Betsomnia Casino,logosask/BetsomniaCasino.png,8.3,https://betsomnia.com/,https://betsomnia.com/,Curacao,Megapartners,"Crypto Casino, Instant Play, Live Casino, Mobile, Download",tekst/Betsomnia Casino.txt
Artcasino,logosask/Artcasino.png,8.3,https://www.artcasino.io,https://www.artcasino.io,Curacao,Mematogroup Affiliate,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Artcasino.txt
24Casino,logosask/24Casino.png,8.3,https://www.24casino.com/,https://www.24casino.com/,Curacao,Hive Affiliates,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/24Casino.txt
Loki Casino,logosask/LokiCasino.png,8.2,http://www.lokicasino.com,http://www.lokicasino.com,Curacao,Alpha Affiliates,"Instant Play, Mobile, Crypto Casino",tekst/Loki Casino.txt
Wazbee Casino,logosask/WazbeeCasino.png,8.2,https://www.wazbee.casino/,https://www.wazbee.casino/,Curacao,Wazbee Partners,"Crypto Casino, Instant Play, Live Casino, Mobile, Sports",tekst/Wazbee Casino.txt
Betandplay Casino,logosask/BetandplayCasino.png,8.2,https://www.betandplay.com,https://www.betandplay.com,Curacao,Tycoon Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Betandplay Casino.txt
Kingdom Casino,logosask/KingdomCasino.png,8.2,https://www.kingdomcasino.com/,https://www.kingdomcasino.com/,Curacao,Kingdom Casino Affiliates,"Instant Play, Mobile, Crypto Casino, Live Casino",tekst/Kingdom Casino.txt
500 Casino,logosask/500Casino.png,8.2,https://500.casino/,https://500.casino/,Curacao,500 Casino Affiliates,"Crypto Casino, Instant Play, Live Casino, Mobile, Sports",tekst/500 Casino.txt
RocketWin Casino,logosask/RocketWinCasino.png,8.2,https://www.rocketwin.io,https://www.rocketwin.io,Curacao,iSpin Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/RocketWin Casino.txt
arcanebet Casino,logosask/arcanebetCasino.png,8.2,https://www.arcanebet.com/en/casino,https://www.arcanebet.com/en/casino,Curacao,Arcanebet Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/arcanebet Casino.txt
Retro Bet Casino,logosask/RetroBetCasino.png,8.2,https://www.retrobet.com/,https://www.retrobet.com/,Curacao,N1 Partners,"Instant Play, Live Casino, Mobile, Crypto Casino",tekst/Retro Bet Casino.txt
Plangames Casino,logosask/PlangamesCasino.png,8.2,https://plangames.com/,https://plangames.com/,Curacao,Playfina Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Plangames Casino.txt
Spinline Casino,logosask/SpinlineCasino.png,8.2,http://spinline.com/,http://spinline.com/,Curacao,Playfina Partners,"Instant Play, Live Casino, Mobile, Crypto Casino",tekst/Spinline Casino.txt
Betroom24 Casino,logosask/Betroom24Casino.png,8.2,https://www.betroom24.com/en,https://www.betroom24.com/en,Curacao,Betroom24 Affiliates,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/Betroom24 Casino.txt
Velobet Casino,logosask/VelobetCasino.png,8.2,https://velobet.com/,https://velobet.com/,Curacao,Velobet Affiliates,"Instant Play, Live Casino, Mobile, Sports, Crypto Casino",tekst/Velobet Casino.txt
Svenbet Casino,logosask/SvenbetCasino.png,8.1,https://www.svenbet.com,https://www.svenbet.com,Curacao,Campeon Affiliates,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/Svenbet Casino.txt
Zinkra Casino,logosask/ZinkraCasino.png,8.1,https://zinkra.com/,https://zinkra.com/,Kahnawake Gaming Commission,OMG Affiliates,"Instant Play, Live Casino, Mobile, Crypto Casino",tekst/Zinkra Casino.txt
Jet Casino,logosask/JetCasino.png,8.1,https://jet.casino,https://jet.casino,Curacao,Royal Partners,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/Jet Casino.txt
Cleopatra Casino,logosask/CleopatraCasino.png,8.1,https://www.cleopatracasino.com/,https://www.cleopatracasino.com/,Curacao,Cleopatra Affiliate,"Instant Play, Mobile, Crypto Casino",tekst/Cleopatra Casino.txt
SpinSpace Casino,logosask/SpinSpaceCasino.png,8.1,https://www.spinspace.io,https://www.spinspace.io,Curacao,iSpin Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/SpinSpace Casino.txt
Pledoo Casino,logosask/PledooCasino.png,8.1,https://pledoo.com/,https://pledoo.com/,Curacao,Pledoo Partners,"Instant Play, Mobile, Crypto Casino, Live Casino, Sports",tekst/Pledoo Casino.txt
Everum Casino,logosask/EverumCasino.png,8.1,http://everumcasino.com,http://everumcasino.com,Curacao,Everum Partners,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Everum Casino.txt
SupaCasi Casino,logosask/SupaCasiCasino.png,8.1,https://supacasi.com,https://supacasi.com,Curacao,Infinity Stars Partners,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/SupaCasi Casino.txt
Stakewin.io Casino,logosask/StakewinioCasino.png,8.1,https://stakewin.io/,https://stakewin.io/,Kahnawake Gaming Commission,StakeWin Partners,"Instant Play, Live Casino, Mobile, Crypto Casino",tekst/Stakewinio Casino.txt
Casino Friday,logosask/CasinoFriday.png,8.1,https://www.casinofriday.com,https://www.casinofriday.com,"Curacao, Estonian Tax and Customs Board",CasinoFriday Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Casino Friday.txt
Richard Casino,logosask/RichardCasino.png,8.1,https://www.richardcasino.com/,https://www.richardcasino.com/,Curacao,Stay Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Richard Casino.txt
Playbet.io Casino,logosask/PlaybetioCasino.png,8.1,https://www.playbet.io/,https://www.playbet.io/,Curacao,Playbet Partners,"Crypto Casino, Instant Play, Live Casino, Mobile, Sports",tekst/Playbetio Casino.txt
Wazamba Casino,logosask/WazambaCasino.png,8.1,https://wazamba.com,https://wazamba.com,The Philippine Amusement and Gaming Corporation (PAGCOR),WOW Partners,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/Wazamba Casino.txt
Mondcasino,logosask/Mondcasino.png,8.1,https://www.mondcasino.com/en,https://www.mondcasino.com/en,Curacao,Mematogroup Affiliate,"Instant Play, Live Casino, Mobile, Sports, Crypto Casino",tekst/Mondcasino.txt
BetBeast Casino,logosask/BetBeastCasino.png,8,https://www.betbeast.com,https://www.betbeast.com,Curacao,Thrill Partners,"Crypto Casino, Live Casino, Mobile, Sports",tekst/BetBeast Casino.txt
Bongo Casino,logosask/BongoCasino.png,8,https://bongo.gg/en,https://bongo.gg/en,Curacao,Betmaster Partners,"Instant Play, Mobile, Live Casino, Crypto Casino, Sports",tekst/Bongo Casino.txt
Snatch Casino,logosask/SnatchCasino.png,8,https://snatchcasino.com,https://snatchcasino.com,Curacao,iWild Partners,"Crypto Casino, Live Casino, Instant Play, Mobile, Sports",tekst/Snatch Casino.txt
Joya Casino,logosask/JoyaCasino.png,8,https://joya.casino/,https://joya.casino/,Anjouan,Joya Affiliates,"Crypto Casino, Instant Play, Mobile, Live Casino",tekst/Joya Casino.txt
GetSlots Casino,logosask/GetSlotsCasino.png,8,https://www.getslots.com/,https://www.getslots.com/,Curacao,Chilli Partners,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/GetSlots Casino.txt
Bets.io Casino,logosask/BetsioCasino.png,8,https://www.bets.io/,https://www.bets.io/,Curacao,Bets Partners,"Instant Play, Mobile, Live Casino, Crypto Casino, Sports",tekst/Betsio Casino.txt
Gama Casino,logosask/GamaCasino.png,8,https://www.gama.casino,https://www.gama.casino,Curacao,Cat Affs,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Gama Casino.txt
Mr Bit Casino,logosask/MrBitCasino.png,8,http://www.mrbit.com,http://www.mrbit.com,"Malta Gaming Authority, Romanian National Gambling Office",PlayAttack Affiliate,"Instant Play, Mobile, Sports, Crypto Casino",tekst/Mr Bit Casino.txt
Conquestador Casino,logosask/ConquestadorCasino.png,8,https://conquestador.com,https://conquestador.com,"Malta Gaming Authority, Alcohol and Gaming Commission of Ontario",Conquestador Affiliates,"Instant Play, Mobile, Live Casino, Sports, Crypto Casino",tekst/Conquestador Casino.txt
Rolling Slots Casino,logosask/RollingSlotsCasino.png,8,https://rollingslots.com,https://rollingslots.com,Curacao,AffRepublic,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Rolling Slots Casino.txt
BruceBet Casino,logosask/BruceBetCasino.png,8,https://bruce.bet/,https://bruce.bet/,Curacao,Mr.Bet Partners,"Instant Play, Live Casino, Crypto Casino, Mobile",tekst/BruceBet Casino.txt
Zoome Casino,logosask/ZoomeCasino.png,7.9,https://zoome.casino,https://zoome.casino,Curacao,Oxi Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Zoome Casino.txt
Nummus Casino,logosask/NummusCasino.png,7.9,https://nummus.casino/,https://nummus.casino/,Curacao,Nummus Affiliates,"Instant Play, Live Casino, Mobile, Sports, Crypto Casino",tekst/Nummus Casino.txt
Loft Casino,logosask/LoftCasino.png,7.9,https://www.loft.casino/,https://www.loft.casino/,Curacao,Loft Partners,"Instant Play, Live Casino, Mobile, Download, Crypto Casino",tekst/Loft Casino.txt
PrimeBetz Casino,logosask/PrimeBetzCasino.png,7.9,https://primebetz.com/,https://primebetz.com/,Kahnawake Gaming Commission,Primebetz Affiliates,"Instant Play, Live Casino, Mobile, Crypto Casino",tekst/PrimeBetz Casino.txt
21bets.io Casino,logosask/21betsioCasino.png,7.9,https://21bets.io/,https://21bets.io/,Kahnawake Gaming Commission,Infinity Stars Partners,"Crypto Casino, Instant Play, Live Casino, Mobile, Sports",tekst/21betsio Casino.txt
Megapari Casino,logosask/MegapariCasino.png,7.9,https://megapari.com,https://megapari.com,Anjouan,Megapari Partners,"Instant Play, Mobile, Sports, Crypto Casino, Live Casino",tekst/Megapari Casino.txt
CasinoBello,logosask/CasinoBello.png,7.9,https://www.casinobello.com,https://www.casinobello.com,Curacao,Blitz Affiliates,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/CasinoBello.txt
ComeOn Casino,logosask/ComeOnCasino.png,7.9,http://www.comeon.com,http://www.comeon.com,"Malta Gaming Authority, Swedish Gambling Authority, Danish Gambling Authority, Alcohol and Gaming Commission of Ontario",ComeOn Connect Affiliates,"Instant Play, Mobile, Sports, Live Casino, Crypto Casino",tekst/ComeOn Casino.txt
Gate777 Casino,logosask/Gate777Casino.png,7.9,https://www.gate777.com,https://www.gate777.com,Malta Gaming Authority,Partner-Up Affiliates,"Instant Play, Mobile, Crypto Casino",tekst/Gate777 Casino.txt
